,0,1
304,2096.2,12.2
305,2096.2,10.9
306,2096.2,2.3
307,2096.3,20.4
308,2096.3,17.6
309,2096.3,48.1
310,2096.4,20.6
311,2096.4,7.8
312,2096.5,7
313,2096.5,30.1
314,2096.5,68.4
315,2096.5,37.4
316,2096.6,58.9
317,2096.6,56.5
318,2096.8,31.1
319,2096.8,6.8
320,2096.8,15.4
321,2096.8,5.3
322,2096.8,23.8
323,2096.8,7.7
324,2096.9,22.5
325,2096.9,41.7
326,2096.9,7.1
327,2096.9,8.8
328,2096.9,4.9
329,2096.9,17
330,2096.9,21
331,2096.9,6.2
332,2096.9,20.9
333,2097,5.1
334,2097,11.4
335,2097,7.6
336,2097.1,27.2
337,2097.1,7.4
338,2097.1,13.2
339,2097.1,1.3
340,2097.1,6.1
341,2097.1,15.7
342,2097.1,5.9
343,2097.2,6.3
344,2097.3,3.3
345,2097.3,11.7
346,2097.3,54.9
347,2097.3,4
348,2097.4,5.1
349,2097.4,51.4
350,2097.4,4.2
351,2097.6,3
352,2097.6,11.2
353,2097.6,11.8
354,2097.7,13.3
355,2097.8,15.3
356,2098.1,17.3
357,2098.2,12.1
358,2098.5,5.4
359,2098.6,11.6
360,2098.7,5.7
361,2099,16.4
362,2099.1,11.1
363,2099.3,9.6
364,2099.5,7.2
365,2099.7,17
366,2100.1,18.2
367,2100.9,7
368,2101.4,13.3
369,2101.5,4.6
370,2101.6,5.3
371,2101.9,14
372,2102,41.1
373,2102.1,5
374,2102.3,9.7
375,2102.4,5.6
376,2102.6,24.6
377,2103,14.2
378,2103.2,20.1
379,2104.3,7.2
380,2104.8,2.7
381,2105.3,9.5
382,2106.1,10.1
383,2106.5,3.6
384,2108.3,6.9
385,2108.4,5.1
386,2108.9,6
387,2111.5,6
388,2112,2.4
389,2113.1,2
390,2113.4,1.5
391,2116.9,3.9
392,2119.1,3.2
393,2120,4.1
394,2121.5,9
395,2121.9,5.8
396,2121.9,3.2
397,2122.9,6.9
398,2123.5,5.1
399,2129.3,14.9
400,2132.3,7.4
401,2137.5,8.5
402,2141,29
403,2141.2,51.1
404,2141.2,48.7
405,2141.3,30.4
406,2142.2,14.2
407,2142.3,14.3
408,2142.5,6.8
409,2143.6,14.6
410,2144.1,9.7
411,2146.8,9.1
412,2147.1,5
413,2147.1,3.8
414,2147.2,4
415,2147.3,5.1
416,2148.1,2.7
417,2148.6,7.3
418,2148.7,5.8
419,2148.8,19.5
420,2149.3,5.1
421,2149.3,10.9
422,2149.5,4.1
423,2149.6,13.6
424,2149.7,12.9
425,2149.8,8.5
426,2149.9,5.4
427,2150.4,10.3
428,2150.6,16.6
429,2151,10.7
430,2151.1,6.9
431,2151.2,4.7
432,2151.3,7.1
433,2151.3,9.1
434,2151.3,7.4
435,2151.4,12.5
436,2151.7,4.2
437,2151.7,3
438,2151.7,2.8
439,2151.8,4.3
440,2152,1.2
441,2152,6.4
442,2152.1,15.4
443,2152.2,5.1
444,2152.2,8
445,2152.2,10
446,2152.2,3.5
447,2152.3,3.4
448,2152.3,5
449,2152.4,3
450,2152.5,14.7
451,2152.5,3.9
452,2152.5,2.9
453,2152.5,3.2
454,2152.5,5.7
455,2152.5,25.4
456,2152.5,7
457,2152.7,9.8
458,2152.7,9.4
459,2152.7,9.4
460,2152.7,8.6
461,2152.8,7.8
462,2152.8,7.9
463,2152.9,4.6
464,2153,11.8
465,2153,6.6
466,2153.1,7.7
467,2153.1,2.3
468,2153.2,9.3
469,2153.2,2.1
470,2153.2,6.1
471,2153.4,2.4
472,2153.5,8.6
473,2153.6,4.2
474,2153.6,5.2
475,2153.7,10.5
476,2153.7,2.3
477,2153.8,14.8
478,2153.9,4.1
479,2154,5.5
480,2154.2,2.9
481,2154.2,7.5
482,2154.5,9.1
483,2154.6,8.1
484,2154.8,3.6
485,2154.9,8.7
486,2154.9,5.2
487,2155.2,2.2
488,2155.7,2.4
489,2155.8,8.3
490,2156.2,8.7
491,2157.4,2.6
492,2157.6,5.9
493,2157.8,8.1
494,2158.1,7.5
495,2158.3,4.1
496,2158.3,2.4
497,2158.7,12.2
498,2159,12.9
499,2159.1,9.3
500,2159.9,19.8
501,2160.2,4.6
502,2160.2,16.2
503,2162.7,10.3
504,2163.8,15.9
505,2164.2,14.8
506,2164.6,5.7
507,2170.1,12.2
508,2172,3.3
509,2172.9,6.3
510,2173.3,5.4
511,2173.6,8.3
512,2173.8,6.8
513,2174.4,16.6
514,2180.4,60.9
515,2188,1.4
516,2190.4,11.3
517,2190.5,13.4
518,2193.3,10.1
519,2193.9,3.7
520,2194.1,2.1
521,2194.8,8.1
522,2195.4,17.3
523,2195.6,5.2
524,2195.7,7.3
525,2196.1,64.3
526,2196.1,13.5
527,2196.1,7.6
528,2196.2,6.1
529,2196.6,3.9
530,2196.6,13.6
531,2196.9,3.2
532,2196.9,7.6
533,2197.7,11.7
534,2199.2,3.4
535,2200.1,5.3
536,2201.2,7.7
537,2201.3,5.8
538,2201.7,8.7
539,2202.1,13.5
540,2202.3,10.9
541,2202.3,5.6
542,2209,11.7
543,2210.1,16.2
544,2210.4,3.5
545,2211.3,3.5
546,2214.6,4.5
547,2215.1,3.5
548,2215.2,3.4
549,2215.5,3.1
550,2215.5,2.8
551,2215.6,4.4
552,2216.1,2.5
553,2216.2,1.6
554,2216.8,1.6
555,2217.1,19.6
556,2217.5,9.1
557,2217.8,4.8
558,2217.9,10.5
559,2218.3,9.5
560,2218.4,2.4
561,2218.5,11.2
562,2219,10.3
563,2219.3,6.2
564,2219.3,4.1
565,2219.6,7.4
566,2219.8,12.4
567,2219.8,14.9
568,2219.9,4.4
569,2220.2,4.6
570,2220.9,3.8
571,2223.2,25.2
572,2223.9,4.9
573,2223.9,11.7
574,2224.1,10
575,2224.6,9.3
576,2231.8,9.5
577,2233.7,6
578,2236.2,16.1
579,2238.5,13.9
580,2239.2,30.9
581,2241.8,8.9
582,2242.2,11.2
583,2242.4,18.2
584,2242.9,14.3
585,2243.3,5.1
586,2243.9,11.7
587,2244.2,10.2
588,2244.3,12.6
589,2245,10.1
590,2245.4,10.7
591,2245.8,16.9
592,2246.3,14.5
593,2247.1,10.5
594,2248,8.7
595,2248.4,8.9
596,2249.3,13
597,2250,16.4
598,2253,41.3
599,2253,37.2
600,2254.9,24.6
601,2255.4,8.1
602,2257.3,3.9
603,2257.6,9.5
604,2258.4,0.8
605,2261.3,10.2
606,2263,11.5
607,2263.6,5.5
608,2264,5.7
609,2264.2,9.6
610,2264.6,3.2
611,2267.4,29.3
612,2271.3,10.4
613,2272.8,37.4
614,2273,4.9
615,2273.2,35.4
616,2273.3,34.3
617,2274,27
618,2274,33.2
619,2274.4,30.5
620,2274.7,41.8
621,2275.3,8.1
622,2276.4,37.1
623,2276.7,34.9
624,2276.7,38.6
625,2276.9,37.5
626,2277.1,19.8
627,2277.6,8.3
628,2277.6,32.7
629,2277.8,15.2
630,2281.3,29
631,2281.5,38.9
632,2281.7,18.2
633,2281.8,23.7
634,2281.9,43.9
635,2282.4,7.8
636,2283.2,31.6
637,2283.4,38
638,2284.3,10.7
639,2284.7,28.2
640,2284.9,16.5
641,2284.9,33.9
642,2285.1,15.8
643,2285.2,45.4
644,2285.2,33.3
645,2285.4,33.8
646,2285.5,32.2
647,2285.5,11.2
648,2285.8,27.5
649,2285.8,11.8
650,2286,19.2
651,2286.1,28.5
652,2286.2,31.2
653,2286.3,27.6
654,2286.4,15.5
655,2286.4,10.6
656,2286.4,38.2
657,2286.5,31.2
658,2286.5,39.1
659,2286.6,44.2
660,2286.6,40.7
661,2286.6,32.6
662,2286.6,22.8
663,2286.7,37.2
664,2286.7,38.8
665,2286.7,23.8
666,2286.7,39
667,2286.7,11.1
668,2286.7,29.2
669,2286.7,49.1
670,2286.8,47
671,2286.8,24.7
672,2286.9,16.4
673,2286.9,42.2
674,2286.9,40.6
675,2287,38
676,2287.1,45.7
677,2287.4,33.3
678,2287.4,40.2
679,2287.4,38.2
680,2287.9,32.9
681,2288.1,25.3
682,2288.2,43.3
683,2288.2,33.5
684,2288.5,26.1
685,2288.9,6
686,2289,14.2
687,2289,43.6
688,2289.2,40.1
689,2289.2,51.1
690,2289.3,14.1
691,2289.3,22.7
692,2289.3,43.4
693,2289.3,12.5
694,2289.4,19.2
695,2289.4,36.5
696,2289.5,25.1
697,2289.5,43.6
698,2289.6,25.4
699,2289.6,4.8
700,2289.7,46.4
701,2289.7,6.3
702,2289.9,11.4
703,2289.9,25.1
704,2289.9,38.9
705,2289.9,21.9
706,2290,13.7
707,2290,5.2
708,2290,24.8
709,2290.1,29.2
710,2290.2,27.6
711,2290.2,26.7
712,2290.2,8.3
713,2290.3,8.4
714,2290.3,7.5
715,2290.3,41.6
716,2290.3,17.8
717,2290.5,43.7
718,2290.6,46.6
719,2290.6,20.4
720,2290.6,22.5
721,2290.6,32.9
722,2290.6,26.5
723,2290.6,42.8
724,2290.6,23.5
725,2290.6,7.6
726,2290.7,26.1
727,2290.7,10.2
728,2290.7,8.6
729,2290.8,41.5
730,2290.9,34.8
731,2290.9,22.2
732,2290.9,14.5
733,2290.9,23.7
734,2290.9,40.4
735,2290.9,10.6
736,2290.9,13.8
737,2291,11.4
738,2291,15.6
739,2291,6
740,2291,24.5
741,2291,37.4
742,2291,24.4
743,2291.1,18.1
744,2291.1,15.9
745,2291.1,41.2
746,2291.1,21.7
747,2291.1,19.6
748,2291.2,15.8
749,2291.2,35.6
750,2291.3,26.4
751,2291.3,41.9
752,2291.3,23.8
753,2291.3,26.3
754,2291.3,39.6
755,2291.3,38
756,2291.3,10.5
757,2291.3,37.9
758,2291.3,40.3
759,2291.3,23.2
760,2291.3,12.2
761,2291.3,25.6
762,2291.4,31
763,2291.4,39.5
764,2291.4,18.8
765,2291.4,13.9
766,2291.4,15.4
767,2291.4,35
768,2291.5,12.9
769,2291.5,12.2
770,2291.6,12.5
771,2291.7,39.7
772,2291.7,25.5
773,2291.7,38.4
774,2291.8,45.3
775,2291.9,14.2
776,2291.9,43
777,2291.9,36.7
778,2291.9,19.5
779,2291.9,45.5
780,2291.9,24.1
781,2291.9,24.5
782,2292,37.2
783,2292,25.9
784,2292.2,33.2
785,2292.3,20.2
786,2292.4,20.7
787,2292.5,24.7
788,2292.5,28.1
789,2292.7,24.8
790,2292.9,14.1
791,2293,42.6
792,2293.4,27.6
793,2294,32.6
794,2294.7,21.1
795,2294.7,14.7
796,2295.2,21.3
797,2295.5,18.8
798,2295.7,28.4
799,2296,52.1
800,2296,16.8
801,2296,15.1
802,2296,26
803,2296.1,15.4
804,2296.1,16
805,2296.1,19.6
806,2296.2,30.2
807,2296.2,24.3
808,2296.2,26.6
809,2296.3,16.4
810,2296.5,17.9
811,2296.8,26.7
812,2296.8,24.8
813,2296.8,27
814,2297,45
815,2297.1,42.8
816,2297.3,24
817,2299.6,39.4
818,2299.7,14.6
819,2299.9,45.1
820,2300.5,6.4
821,2304.2,1.5
822,2308.5,8.6
823,2309.7,18.2
824,2315.7,12.8
825,2316.1,14.2
826,2316.1,11
827,2316.5,9.4
828,2316.5,18.2
829,2317.1,13.9
830,2317.4,19.5
831,2318.7,15.8
832,2319.1,15.1
833,2319.1,15.9
834,2319.3,18.9
835,2320,15.4
836,2323.5,11.7
837,2324,18.4
838,2324.1,19.9
839,2324.3,9
840,2325.3,10.3
841,2325.3,12.8
842,2326.7,16.2
843,2327.5,20.2
844,2327.6,11.7
845,2327.7,13
846,2327.8,6.1
847,2327.9,11.3
848,2328.2,9.5
849,2328.4,37.5
850,2328.4,16.6
851,2328.4,8.6
852,2328.4,34.5
853,2328.4,15.2
854,2328.4,12.3
855,2328.5,6.6
856,2328.6,39.4
857,2328.7,15.9
858,2328.7,13.2
859,2328.7,37.6
860,2328.7,12.1
861,2328.8,6.6
862,2328.8,14
863,2328.8,4.9
864,2328.9,4.5
865,2328.9,33.9
866,2328.9,16.1
867,2328.9,16
868,2329,16.3
869,2329.1,14.1
870,2329.2,17.3
871,2329.2,15.4
872,2329.2,32.8
873,2329.3,10.8
874,2329.3,13.1
875,2329.4,19.2
876,2329.5,9
877,2329.5,18.4
878,2329.8,18.3
879,2329.9,13.9
880,2330,12.5
881,2330.4,10.7
882,2330.5,11.9
883,2330.6,14.1
884,2331.2,4.6
885,2331.3,5.4
886,2331.4,16.6
887,2331.4,13.9
888,2331.4,17.5
889,2331.6,5.9
890,2331.6,10.2
891,2331.7,18.7
892,2331.8,10.4
893,2331.8,17.9
894,2331.8,16
895,2331.9,15.2
896,2332,12
897,2332,11.9
898,2332,12.1
899,2332.1,15.6
900,2332.2,13.2
901,2332.3,14.2
902,2332.3,11.5
903,2332.4,13.3
904,2332.4,3.3
905,2332.4,21.9
906,2332.5,3.9
907,2332.7,6.5
908,2332.8,13
909,2332.9,10.9
910,2333,4.6
911,2333,13
912,2333,22.3
913,2333,4
914,2333,6.9
915,2333,16
